Dezernat,Amt / Dienststelle,Produkt,Produktbezeichnung,Produktgruppe,Produktgruppenbezeichnung,Produktbereich,Produktbereich Bezeichnung,Dezernatsbezeichnung,Teilhaushalte,Teilhaushalte Bezeichnung,Amt / Dienststelle Bezeichnung,Ergebnis 2021 (Erträge),Ergebnis 2021 (Aufwendungen),Ergebnis 2021 (Saldo/Zuschussbedarf/Erträge - Aufwendungen),Ansatz 2022 (Erträge),Ansatz 2022 (Aufwendungen),Ansatz 2022 (Saldo/Zuschussbedarf/Erträge - Aufwendungen),Ansatz 2023 (Erträge),Ansatz 2023 (Aufwendungen),Ansatz 2023 (Saldo/Zuschussbedarf/Erträge - Aufwendungen),Ansatz 2024 (Erträge),Ansatz 2024 (Aufwendungen),Ansatz 2024 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)
"DEZ-V  ",AMT-630,522003,"Förderung v. Modernis.-, Schalls.maßn.                                                              ",5220,"Wohnungsbauförderung und Wohnungsversorg                                                            ",52,"Bauen und Wohnen                                                                                    ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_24,"THH 24 Planung, Entwicklung, Bauen                                                                  ","630 Baurechtsamt                                                                                    ",19040,"-455063,2","-436023,2",0,-503778,-503778,0,"-530824,5","-530824,5",0,"-532380,5","-532380,5"
"DEZ-IV ",AMT-640,522004,"Einkommensorientierte Förderung                                                                     ",5220,"Wohnungsbauförd. u. Wohnungsversorgung                                                              ",52,"Bauen und Wohnen                                                                                    ","Dezernat IV BM Breiter                                                                              ",THH_22,"THH 22 Amt f. Liegenschaften, Wgwesen                                                               ","640 Amt f. Liegenschaften, Wgwesen                                                                  ","117932,6","-64900,7","53031,8",101000,"-366663,9","-265663,9",0,"-15484,2","-15484,2",0,-16581,-16581
"DEZ-IV ",AMT-640,522005,"Erteilung von Wohnberechtigungsscheinen                                                             ",5220,"Wohnungsbauförd. u. Wohnungsversorgung                                                              ",52,"Bauen und Wohnen                                                                                    ","Dezernat IV BM Breiter                                                                              ",THH_22,"THH 22 Amt f. Liegenschaften, Wgwesen                                                               ","640 Amt f. Liegenschaften, Wgwesen                                                                  ",857,"-194081,4","-193224,4",300,"-193944,5","-193644,5",300,"-229695,9","-229395,9",300,"-239293,6","-238993,6"
"DEZ-IV ",AMT-640,522006,"Vermittlung von Wohnraum                                                                            ",5220,"Wohnungsbauförd. u. Wohnungsversorgung                                                              ",52,"Bauen und Wohnen                                                                                    ","Dezernat IV BM Breiter                                                                              ",THH_22,"THH 22 Amt f. Liegenschaften, Wgwesen                                                               ","640 Amt f. Liegenschaften, Wgwesen                                                                  ","510,9","-96384,6","-95873,6",0,"-238700,9","-238700,9",0,"-115235,1","-115235,1",0,"-120061,3","-120061,3"
"DEZ-IV ",AMT-640,522007,"Überwa. Zweckbindung geförd. Wohnungen                                                              ",5220,"Wohnungsbauförd. u. Wohnungsversorgung                                                              ",52,"Bauen und Wohnen                                                                                    ","Dezernat IV BM Breiter                                                                              ",THH_22,"THH 22 Amt f. Liegenschaften, Wgwesen                                                               ","640 Amt f. Liegenschaften, Wgwesen                                                                  ","230,7","-131671,1","-131440,4",0,"-30623,5","-30623,5",0,"-108466,8","-108466,8",0,"-116149,8","-116149,8"
"DEZ-IV ",AMT-640,522008,"Mietspiegel                                                                                         ",5220,"Wohnungsbauförd. u. Wohnungsversorgung                                                              ",52,"Bauen und Wohnen                                                                                    ","Dezernat IV BM Breiter                                                                              ",THH_22,"THH 22 Amt f. Liegenschaften, Wgwesen                                                               ","640 Amt f. Liegenschaften, Wgwesen                                                                  ","17035,8","-138866,2","-121830,5",1000,"-264813,1","-263813,1",16000,"-105194,8","-89194,8",1000,-251743,-250743
"DEZ-V  ",AMT-630,522009,"Anwendung des Zweckentfremdungsverbots                                                              ",5220,"Wohnungsbauförderung und Wohnungsversorg                                                            ",52,"Bauen und Wohnen                                                                                    ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_24,"THH 24 Planung, Entwicklung, Bauen                                                                  ","630 Baurechtsamt                                                                                    ",45428,-131306,-85878,16330,"-161601,2","-145271,2",16330,"-124615,5","-108285,5",16330,"-131736,7","-115406,7"
"DEZ-V  ",AMT-630,523000,"Denkmalschutz und Denkmalpflege                                                                     ",5230,"Denkmalschutz und Denkmalpflege                                                                     ",52,"Bauen und Wohnen                                                                                    ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_24,"THH 24 Planung, Entwicklung, Bauen                                                                  ","630 Baurechtsamt                                                                                    ","32781,2","-328328,6","-295547,4",30930,"-329439,5","-298509,5",30930,"-342261,9","-311331,9",30930,"-349941,4","-319011,4"
"DEZ-IV ",AMT-200,535000,"Konzessionsabgabe                                                                                   ",5350,"Kombinierte Versorgung                                                                              ",53,"Ver- und Entsorgung                                                                                 ","Dezernat IV BM Breiter                                                                              ",THH_17,"THH 17 Stadtkämmerei                                                                                ","200 Stadtkämmerei                                                                                   ","12523908,1","-9410491,3","3113416,8",11390000,"-3548536,7","7841463,3",11893000,"-8887501,3","3005498,7",12030000,"-8366026,7","3663973,3"
"DEZ-V  ",AMT-660,536001,"Leitungsgebundene Breitbandinfrastruktur                                                            ",5360,"Telekommunikationseinrichtungen                                                                     ",53,"Ver- und Entsorgung                                                                                 ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","114,9",-25877,"-25762,1","1003,3","-29679,4","-28676,1","81,6","-132904,8","-132823,2","435,1","-136023,8","-135588,7"
"DEZ-II ",AMT-170,537000,"Dienstleistungen für den EAF                                                                        ",5370,"Abfallwirtschaft                                                                                    ",53,"Ver- und Entsorgung                                                                                 ","Dezernat II BMin Buchheit                                                                           ",THH_07,"THH 7 Umweltschutzamt                                                                               ","170 Umweltschutzamt                                                                                 ","61247,5","-58976,4","2271,2","40029,9","-34628,3","5401,6","60012,7","-33395,3","26617,4","60012,7","-33706,2","26306,5"
"DEZ-IV ",AMT-200,537000,"Abfallwirtschaft                                                                                    ",5370,"Abfallwirtschaft                                                                                    ",53,"Ver- und Entsorgung                                                                                 ","Dezernat IV BM Breiter                                                                              ",THH_17,"THH 17 Stadtkämmerei                                                                                ","200 Stadtkämmerei                                                                                   ","1563413,6","-858858,2","704555,4",1536000,"-737086,1","798913,9",1549000,"-767533,9","781466,1",1549000,"-772395,5","776604,5"
"DEZ-II ",AMT-170,537009,"Zweckverband                                                                                        ",5370,"Abfallwirtschaft                                                                                    ",53,"Ver- und Entsorgung                                                                                 ","Dezernat II BMin Buchheit                                                                           ",THH_07,"THH 7 Umweltschutzamt                                                                               ","170 Umweltschutzamt                                                                                 ",0,"-185426,1","-185426,1","0,5","-201084,5",-201084,"0,4","-211021,4","-211021,1","0,4","-211040,2","-211039,9"
"DEZ-I  ",AMT-151,541001,"Bereitst./Betrieb v. Gemeindestraßen                                                                ",5410,"Gemeindestraßen                                                                                     ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","151 Ortsverw. Lehen                                                                                 ",0,"-281,6","-281,6",0,"-132,1","-132,1",0,"-327,3","-327,3",0,"-334,8","-334,8"
"DEZ-I  ",AMT-152,541001,"Bereitst./Betrieb v. Gemeindestraßen                                                                ",5410,"Gemeindestraßen                                                                                     ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","152 Ortsverw. Opfingen                                                                              ",0,"-1529,5","-1529,5",0,"-1441,1","-1441,1",0,"-1598,8","-1598,8",0,"-1648,6","-1648,6"
"DEZ-I  ",AMT-153,541001,"Bereitst./Betrieb v. Gemeindestraßen                                                                ",5410,"Gemeindestraßen                                                                                     ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","153 Ortsverw. Waltershofen                                                                          ",180,"-2896,3","-2716,3",200,"-2435,5","-2235,5","200,1","-3455,6","-3255,5",200,"-3502,8","-3302,8"
"DEZ-I  ",AMT-154,541001,"Bereitst./Betrieb v. Gemeindestraßen                                                                ",5410,"Gemeindestraßen                                                                                     ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","154 Ortsverw. Tiengen                                                                               ",0,"-5981,6","-5981,6",0,"-757,9","-757,9",0,"-2464,7","-2464,7",0,-2518,-2518
"DEZ-I  ",AMT-155,541001,"Bereitst./Betrieb v. Gemeindestraßen                                                                ",5410,"Gemeindestraßen                                                                                     ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","155 Ortsverw. Munzingen                                                                             ",0,-4188,-4188,0,"-4663,9","-4663,9",0,"-5041,8","-5041,8",0,"-5147,8","-5147,8"
"DEZ-I  ",AMT-156,541001,"Bereitst./Betrieb v. Gemeindestraßen                                                                ",5410,"Gemeindestraßen                                                                                     ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","156 Ortsverw. Hochdorf                                                                              ","0,9","-7675,8",-7675,0,"-4941,9","-4941,9","15,1","-8035,1",-8020,"15,1","-8259,7","-8244,6"
"DEZ-I  ",AMT-157,541001,"Bereitst./Betrieb v. Gemeindestraßen                                                                ",5410,"Gemeindestraßen                                                                                     ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","157 Ortsverw. Ebnet                                                                                 ",0,"-15084,8","-15084,8",0,"-17402,2","-17402,2",0,"-12774,1","-12774,1",0,"-6934,1","-6934,1"
"DEZ-I  ",AMT-158,541001,"Bereitst./Betrieb v. Gemeindestraßen                                                                ",5410,"Gemeindestraßen                                                                                     ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","158 Ortsverw. Kappel                                                                                ",0,"-15427,8","-15427,8",0,"-14563,2","-14563,2",0,"-15655,2","-15655,2",0,"-16086,2","-16086,2"
"DEZ-V  ",AMT-660,541001,"Gemeindestraßen                                                                                     ",5410,"Gemeindestraßen                                                                                     ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","7234235,1","-30813722,5","-23579487,4","6673676,4","-34421156,3",-27747480,"6992517,9","-35849030,9",-28856513,6765834,"-35049774,7","-28283940,7"
"DEZ-I  ",AMT-151,541007,"Stadtreinigung                                                                                      ",5410,"Gemeindestraßen                                                                                     ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","151 Ortsverw. Lehen                                                                                 ",0,0,0,0,0,0,0,0,0,0,0,0
"DEZ-V  ",AMT-660,542001,"Kreisstraßen                                                                                        ",5420,"Kreisstraßen                                                                                        ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","833333,2",-2626771,"-1793437,8","775827,5",-2751316,"-1975488,6","781829,6","-2849468,8","-2067639,2","768127,3","-2686729,7","-1918602,4"
"DEZ-V  ",AMT-660,543001,"Landesstraßen                                                                                       ",5430,"Landesstraßen                                                                                       ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","687848,8","-990564,9","-302716,1","630356,3","-1104234,2","-473877,9",631706,"-1234317,9",-602612,"624830,3","-1229523,8","-604693,6"
"DEZ-V  ",AMT-660,544001,"Bundesstraßen                                                                                       ",5440,"Bundesstraßen                                                                                       ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","2229236,3","-2737305,7","-508069,4",2215219,"-2867521,3","-652302,3","2154204,6","-2905870,8","-751666,2",2086889,"-2747567,2","-660678,3"
"DEZ-I  ",AMT-151,545001,"Straßenreinigung                                                                                    ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","151 Ortsverw. Lehen                                                                                 ",0,"-12620,3","-12620,3",0,"-12900,1","-12900,1",0,"-14658,8","-14658,8",0,"-14991,9","-14991,9"
"DEZ-I  ",AMT-152,545001,"Straßenreinigung                                                                                    ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","152 Ortsverw. Opfingen                                                                              ",0,"-1529,5","-1529,5",0,"-1441,1","-1441,1",0,"-1598,8","-1598,8",0,"-1648,6","-1648,6"
"DEZ-I  ",AMT-153,545001,"Straßenreinigung                                                                                    ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","153 Ortsverw. Waltershofen                                                                          ","1,6","-3904,2","-3902,6","1,6","-3505,7","-3504,1","0,1","-3543,4","-3543,3",0,"-3590,6","-3590,6"
"DEZ-I  ",AMT-154,545001,"Straßenreinigung                                                                                    ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","154 Ortsverw. Tiengen                                                                               ",0,"-7177,9","-7177,9",0,"-8335,9","-8335,9",0,"-10351,4","-10351,4",0,"-10575,4","-10575,4"
"DEZ-I  ",AMT-155,545001,"Straßenreinigung                                                                                    ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","155 Ortsverw. Munzingen                                                                             ",0,-1396,-1396,0,-1348,-1348,0,-1474,-1474,0,"-1509,4","-1509,4"
"DEZ-I  ",AMT-156,545001,"Straßenreinigung                                                                                    ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","156 Ortsverw. Hochdorf                                                                              ",0,0,0,0,0,0,0,0,0,0,0,0
"DEZ-I  ",AMT-157,545001,"Straßenreinigung                                                                                    ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","157 Ortsverw. Ebnet                                                                                 ",0,"-3969,6","-3969,6",0,"-4579,5","-4579,5",0,"-3361,7","-3361,7",0,"-1824,8","-1824,8"
"DEZ-I  ",AMT-158,545001,"Straßenreinigung                                                                                    ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","158 Ortsverw. Kappel                                                                                ",0,"-10680,8","-10680,8",0,"-10082,2","-10082,2",0,"-10838,2","-10838,2",0,"-11136,6","-11136,6"
"DEZ-V  ",AMT-660,545001,"Straßenreinigung                                                                                    ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","690641,2","-9472191,4","-8781550,1","700699,1","-9413057,3","-8712358,2",746015,-9872166,"-9126150,9","746020,1","-10109828,1",-9363808
"DEZ-I  ",AMT-151,545002,"Winterdienst                                                                                        ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","151 Ortsverw. Lehen                                                                                 ",0,"-7926,4","-7926,4",0,"-4999,2","-4999,2",0,"-9427,9","-9427,9",0,"-9639,6","-9639,6"
"DEZ-I  ",AMT-152,545002,"Winterdienst                                                                                        ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","152 Ortsverw. Opfingen                                                                              ",0,"-2565,2","-2565,2",0,"-628,2","-628,2",0,"-2812,3","-2812,3",0,"-2895,4","-2895,4"
"DEZ-I  ",AMT-153,545002,"Winterdienst                                                                                        ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","153 Ortsverw. Waltershofen                                                                          ","1,1","-1076,4","-1075,3","0,5","-3976,9","-3976,4",0,"-779,1","-779,1",0,"-789,1","-789,1"
"DEZ-I  ",AMT-154,545002,"Winterdienst                                                                                        ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","154 Ortsverw. Tiengen                                                                               ",0,-1915,-1915,0,"-757,9","-757,9",0,"-985,9","-985,9",0,"-1007,3","-1007,3"
"DEZ-I  ",AMT-155,545002,"Winterdienst                                                                                        ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","155 Ortsverw. Munzingen                                                                             ",0,-2952,-2952,0,"-898,7","-898,7",0,"-4421,8","-4421,8",0,"-4527,8","-4527,8"
"DEZ-I  ",AMT-156,545002,"Winterdienst                                                                                        ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","156 Ortsverw. Hochdorf                                                                              ","0,1","-3003,5","-3003,4",0,"-1330,8","-1330,8","5,4","-3812,8","-3807,4","5,4","-3893,3","-3887,9"
"DEZ-I  ",AMT-157,545002,"Winterdienst                                                                                        ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","157 Ortsverw. Ebnet                                                                                 ",0,"-839,6","-839,6",0,"-610,6","-610,6",0,"-672,5","-672,5",0,-365,-365
"DEZ-I  ",AMT-158,545002,"Winterdienst                                                                                        ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","158 Ortsverw. Kappel                                                                                ",0,0,0,0,"-373,3","-373,3",0,0,0,0,0,0
"DEZ-V  ",AMT-660,545002,"Winterdienst                                                                                        ",5450,"Straßenreingung und Winterdienst                                                                    ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","223,6","-574124,8","-573901,2","26,6","-280115,2","-280088,6","77,8","-380218,7",-380141,"77,8","-336619,6","-336541,9"
"DEZ-I  ",AMT-110,546001,"Bereitst./Betrieb v.Parkierungseinricht.                                                            ",5460,"Parkierungseinrichtungen                                                                            ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ",0,"-3619,9","-3619,9",0,"-2680,5","-2680,5",0,"-3689,9","-3689,9",0,"-3744,7","-3744,7"
"DEZ-IV ",AMT-640,546001,"Parkplatzbewirtschaftung ALW                                                                        ",5460,"Parkierungseinrichtungen                                                                            ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat IV BM Breiter                                                                              ",THH_22,"THH 22 Amt f. Liegenschaften, Wgwesen                                                               ","640 Amt f. Liegenschaften, Wgwesen                                                                  ","126595,5","-332,4","126263,1",120000,-10,119990,34800,"-387,8","34412,2",34800,"-431,9","34368,1"
"DEZ-V  ",AMT-660,546001,"Bereitst./Betrieb v.Parkierungseinricht.                                                            ",5460,"Parkierungseinrichtungen                                                                            ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","3649410,6","-1933909,1","1715501,5","4788877,9","-2315390,8","2473487,1","4938279,5","-2447523,6",2490756,"4930995,5","-2564373,8","2366621,7"
"DEZ-I  ",AMT-110,547001,"Verkehrsbetriebe / ÖPNV                                                                             ",5470,"Verkehrsbetriebe / ÖPNV                                                                             ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat I OB Horn                                                                                  ",THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.                                                              ","110 HPA/OB Büro/RIKP/NHM/PIWI/RbW                                                                   ",0,"-276543,6","-276543,6","8,3","-265166,5","-265158,2","3,7","-277667,9","-277664,2","3,7","-277950,4","-277946,7"
"DEZ-V  ",AMT-660,547001,"ÖPNV-Förderung                                                                                      ",5470,"Verkehrsbetriebe / ÖPNV                                                                             ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","528477,8","-3545095,6","-3016617,8",500348,"-3814119,9","-3313771,9","500302,5","-4789878,5",-4289576,"500302,5",-4284388,"-3784085,4"
"DEZ-V  ",AMT-660,548001,"Industriegleis                                                                                      ",5480,"Sonstiger Personen- und Güterverkehr                                                                ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_26,"THH 26 Garten-, Tiefbauamt                                                                          ","660 Garten-, Tiefbauamt                                                                             ","72156,9","-257347,8","-185190,9","76686,6","-329965,6",-253279,"76766,8","-270999,9","-194233,1","76766,8","-277094,4","-200327,6"
"DEZ-V  ",AMT-650,549000,"Öffentliche Toilettenanlagen                                                                        ",5490,"Öffentliche Toilettenanlagen                                                                        ",54,"Verkehrsflächen und -anlagen, ÖPNV                                                                  ","Dezernat V BM Prof. Dr. Haag                                                                        ",THH_25,"THH 25 Gebäudemanagement Freiburg                                                                   ","650 Gebäudemanagement Freiburg                                                                      ","213546,1","-624172,4","-410626,4","831,4","-432584,8","-431753,4","409,3","-524944,8","-524535,5","407,6","-433620,4","-433212,7"
"DEZ-I  ",AMT-151,551000,"Grün-Freizeitflächen                                                                                ",5510,"Öffentliches Grün/Landschaftsbau                                                                    ",55,"Natur- und Landschaftspflege,Friedhofsw.                                                            ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","151 Ortsverw. Lehen                                                                                 ",0,"-62259,1","-62259,1",50,"-59540,1","-59490,1",50,"-73769,1","-73719,1",50,"-75289,6","-75239,6"
"DEZ-I  ",AMT-152,551000,"Grün-Freizeitflächen                                                                                ",5510,"Öffentliches Grün/Landschaftsbau                                                                    ",55,"Natur- und Landschaftspflege,Friedhofsw.                                                            ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","152 Ortsverw. Opfingen                                                                              ",0,"-45637,2","-45637,2",0,"-49827,3","-49827,3",0,"-51585,5","-51585,5",0,"-52747,4","-52747,4"
"DEZ-I  ",AMT-153,551000,"Grün-Freizeitflächen                                                                                ",5510,"Öffentliches Grün/Landschaftsbau                                                                    ",55,"Natur- und Landschaftspflege,Friedhofsw.                                                            ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","153 Ortsverw. Waltershofen                                                                          ","56,5","-58943,3","-58886,8",57,"-58549,2","-58492,2","4,6","-58308,7",-58304,0,"-59373,2","-59373,2"
"DEZ-I  ",AMT-154,551000,"Grün-Freizeitflächen                                                                                ",5510,"Öffentliches Grün/Landschaftsbau                                                                    ",55,"Natur- und Landschaftspflege,Friedhofsw.                                                            ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","154 Ortsverw. Tiengen                                                                               ","45,4","-36311,4","-36266,1","45,4",-40486,"-40440,6","45,4","-41382,8","-41337,4","45,4","-42139,8","-42094,5"
"DEZ-I  ",AMT-155,551000,"Grün-Freizeitflächen                                                                                ",5510,"Öffentliches Grün/Landschaftsbau                                                                    ",55,"Natur- und Landschaftspflege,Friedhofsw.                                                            ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","155 Ortsverw. Munzingen                                                                             ",0,"-41720,3","-41720,3",0,"-42235,7","-42235,7",0,"-42742,5","-42742,5",0,"-43767,8","-43767,8"
"DEZ-I  ",AMT-156,551000,"Grün-Freizeitflächen                                                                                ",5510,"Öffentliches Grün/Landschaftsbau                                                                    ",55,"Natur- und Landschaftspflege,Friedhofsw.                                                            ","Dezernat I OB Horn                                                                                  ",THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs                                                            ","156 Ortsverw. Hochdorf                                                                              ","20,8","-51765,6","-51744,8",0,"-41393,6","-41393,6","254,4","-53143,2","-52888,8","254,4","-54473,7","-54219,3"
